time_s,ecg_adc
0.660000,3072
0.664000,2853
0.668000,2048
0.672000,3300
0.676000,1535
0.680000,2762
0.684000,1279
0.688000,2232
0.692000,1023
0.696000,2223
0.700000,1023
0.704000,3504
0.708000,1023
0.712000,696
0.716000,1023
0.720000,698
0.724000,1023
0.728000,1468
0.732000,1023
0.736000,1471
0.740000,1023
0.744000,1469
0.748000,1023
0.752000,701
0.756000,1023
0.760000,2749
0.764000,1279
0.768000,1737
0.772000,1279
0.776000,3794
0.780000,1535
0.784000,985
0.788000,1535
0.792000,3043
0.796000,2047
0.800000,1045
0.804000,3072
0.808000,1695
0.812000,2064
0.816000,3712
0.820000,1297
0.824000,1805
0.828000,2594
0.832000,323
0.836000,2850
0.840000,1037
0.844000,1298
0.848000,2475
0.852000,3857
0.856000,1312
0.860000,769
0.864000,3422
0.868000,2560
0.872000,3591
0.876000,1776
0.880000,1719
0.884000,4095
0.888000,3139
0.892000,2559
0.896000,236
0.900000,1262
0.904000,438
0.908000,1006
0.912000,3530
0.916000,1518
0.920000,736
0.924000,1774
0.928000,2796
0.932000,1774
0.936000,2263
0.940000,1518
0.944000,723
0.948000,1518
0.952000,218
0.956000,1262
0.960000,3259
0.964000,1006
0.968000,2225
0.972000,1262
0.976000,2783
0.980000,2030
0.984000,2037
0.988000,1774
0.992000,2794
0.996000,2030
1.000000,532
1.004000,3071
1.008000,1104
1.012000,3583
1.016000,1890
1.020000,3839
1.024000,2433
1.028000,511
1.032000,4002
1.036000,767
1.040000,4008
1.044000,1023
1.048000,1225
1.052000,1279
1.056000,3522
1.060000,1279
1.064000,191
1.068000,1023
1.072000,1212
1.076000,1279
1.080000,3804
1.084000,1791
1.088000,3816
1.092000,1791
1.096000,3809
1.100000,1791
1.104000,1777
1.108000,1791
1.112000,2536
1.116000,1791
1.120000,468
1.124000,1279
1.128000,2234
1.132000,767
1.136000,390
1.140000,4095
1.144000,654
1.148000,1023
1.152000,3560
1.156000,2063
1.160000,3587
1.164000,2032
1.168000,501
1.172000,2047
1.176000,2024
1.180000,1023
1.184000,2965
1.188000,4095
1.192000,1113
1.196000,3327
1.200000,3653
1.204000,3071
1.208000,1323
1.212000,2815
1.216000,1338
1.220000,3071
1.224000,1333
1.228000,2815
1.232000,1321
1.236000,2815
1.240000,1330
1.244000,3071
1.248000,588
1.252000,3583
1.256000,2399
1.260000,3839
1.264000,3162
1.268000,3583
1.272000,2383
1.276000,3839
1.280000,3454
1.284000,511
1.288000,2966
1.292000,511
1.296000,1422
1.300000,255
1.304000,2709
1.308000,767
1.312000,2218
1.316000,1023
1.320000,2748
1.324000,1535
1.328000,4080
1.332000,2575
1.336000,883
1.340000,1280
1.344000,2887
1.348000,273
1.352000,196
1.356000,1553
1.360000,1275
1.364000,1553
1.368000,3015
1.372000,529
1.376000,1412
1.380000,3345
1.384000,40
1.388000,1281
1.392000,895
1.396000,2816
1.400000,261
1.404000,1264
1.408000,1160
1.412000,3327
1.416000,1564
1.420000,2031
1.424000,1764
1.428000,1262
1.432000,710
1.436000,1262
1.440000,4051
1.444000,1774
1.448000,1268
1.452000,2030
1.456000,1026
1.460000,2303
1.464000,2068
1.468000,2815
1.472000,2851
1.476000,2815
1.480000,2337
1.484000,2815
1.488000,291
1.492000,2815
1.496000,819
1.500000,3071
1.504000,1096
1.508000,3583
1.512000,3187
1.516000,255
1.520000,1683
1.524000,511
1.528000,682
1.532000,1023
1.536000,3023
1.540000,1791
1.544000,758
1.548000,2063
1.552000,1300
1.556000,2304
1.560000,298
1.564000,2816
1.568000,1094
1.572000,3072
1.576000,2897
1.580000,3328
1.584000,856
1.588000,3328
1.592000,859
1.596000,3328
1.600000,1374
1.604000,3328
1.608000,1629
1.612000,3328
1.616000,93
1.620000,3328
1.624000,3411
1.628000,3328
1.632000,2649
1.636000,3584
1.640000,2920
1.644000,3840
1.648000,1151
1.652000,0
1.656000,402
1.660000,256
1.664000,1183
1.668000,512
1.672000,2488
1.676000,1024
1.680000,192
1.684000,768
1.688000,2985
1.692000,512
1.696000,1182
1.700000,256
1.704000,1169
1.708000,3840
1.712000,3933
1.716000,2816
1.720000,2836
1.724000,2032
1.728000,1764
1.732000,1535
1.736000,988
1.740000,1535
1.744000,3801
1.748000,1535
1.752000,1233
1.756000,1279
1.760000,2510
1.764000,1535
1.768000,4054
1.772000,1535
1.776000,1755
1.780000,1535
1.784000,2529
1.788000,1791
1.792000,2527
1.796000,1791
1.800000,3043
1.804000,1791
1.808000,2278
1.812000,2047
1.816000,2294
1.820000,2063
1.824000,2560
1.828000,2048
1.832000,3
1.836000,2048
1.840000,3341
1.844000,2304
1.848000,2584
1.852000,2560
1.856000,3380
1.860000,3328
1.864000,2700
1.868000,1536
1.872000,3146
1.876000,785
1.880000,271
1.884000,3106
1.888000,1382
1.892000,3874
1.896000,122
1.900000,3362
1.904000,2087
1.908000,1810
1.912000,1451
1.916000,3345
1.920000,2046
1.924000,0
1.928000,313
1.932000,2032
1.936000,1482
1.940000,511
1.944000,620
1.948000,3071
1.952000,3092
1.956000,2031
1.960000,2514
1.964000,1262
1.968000,1237
1.972000,2030
1.976000,3886
1.980000,3583
1.984000,3425
1.988000,3583
1.992000,1864
1.996000,3071
2.000000,819
2.004000,2815
2.008000,51
2.012000,3327
2.016000,1884
2.020000,3839
2.024000,2942
2.028000,255
2.032000,3716
2.036000,255
2.040000,896
2.044000,4095
2.048000,2432
2.052000,511
2.056000,1957
2.060000,1023
2.064000,1234
2.068000,1535
2.072000,3048
2.076000,2063
2.080000,2849
2.084000,3072
2.088000,2905
2.092000,3584
2.096000,1378
2.100000,3328
2.104000,344
2.108000,3328
2.112000,859
2.116000,3328
2.120000,1369
2.124000,3328
2.128000,1133
2.132000,3840
2.136000,1924
2.140000,3840
2.144000,629
2.148000,3584
2.152000,2910
2.156000,3328
2.160000,2382
2.164000,3328
2.168000,1625
2.172000,3328
2.176000,610
2.180000,3584
2.184000,1911
2.188000,3840
2.192000,1161
2.196000,0
2.200000,1937
2.204000,256
2.208000,2476
2.212000,768
2.216000,3753
2.220000,256
2.224000,1920
2.228000,3584
2.232000,1629
2.236000,2816
2.240000,28
2.244000,2032
2.248000,732
2.252000,1279
2.256000,3260
2.260000,1023
2.264000,3501
2.268000,767
2.272000,2458
2.276000,511
2.280000,3213
2.284000,255
2.288000,3716
2.292000,511
2.296000,679
2.300000,767
2.304000,933
2.308000,767
2.312000,698
2.316000,1279
2.320000,1230
2.324000,1279
2.328000,1999
2.332000,1535
2.336000,248
2.340000,2063
2.344000,1027
2.348000,1776
2.352000,481
2.356000,1535
2.360000,473
2.364000,1535
2.368000,3036
2.372000,1791
2.376000,3049
2.380000,2047
2.384000,2048
2.388000,2048
2.392000,2315
2.396000,2816
2.400000,3197
2.404000,1536
2.408000,2389
2.412000,1041
2.416000,2315
2.420000,2850
2.424000,2371
2.428000,3106
2.432000,805
2.436000,1810
2.440000,3017
2.444000,273
2.448000,2378
2.452000,1793
2.456000,2959
2.460000,3072
2.464000,276
2.468000,1776
2.472000,2997
2.476000,4095
2.480000,2360
2.484000,2559
2.488000,3317
2.492000,1774
2.496000,3291
2.500000,1774
2.504000,4085
2.508000,2302
2.512000,2835
2.516000,2559
2.520000,2833
2.524000,2559
2.528000,1049
2.532000,2559
2.536000,2849
2.540000,2815
2.544000,2083
2.548000,2815
2.552000,3360
2.556000,2815
2.560000,2867
2.564000,3327
2.568000,2647
2.572000,3839
2.576000,2922
2.580000,4095
2.584000,2945
2.588000,511
2.592000,2730
2.596000,1279
2.600000,2514
2.604000,1791
2.608000,2284
2.612000,2063
2.616000,3088
2.620000,2560
2.624000,2866
2.628000,3072
2.632000,2896
2.636000,3328
2.640000,851
2.644000,3328
2.648000,2144
2.652000,3584
2.656000,2654
2.660000,3584
2.664000,2914
2.668000,3584
2.672000,3685
2.676000,3584
2.680000,870
2.684000,3584
2.688000,3434
2.692000,3584
2.696000,91
2.700000,3328
2.704000,88
2.708000,3328
2.712000,2146
2.716000,3840
2.720000,1399
2.724000,3840
2.728000,2441
2.732000,256
2.736000,1682
2.740000,256
2.744000,3248
2.748000,768
2.752000,4016
2.756000,512
2.760000,3748
2.764000,512
2.768000,3755
2.772000,512
2.776000,3990
2.780000,0
2.784000,371
2.788000,3328
2.792000,57
2.796000,2304
2.800000,3584
2.804000,1776
2.808000,3017
2.812000,767
2.816000,641
2.820000,3839
2.824000,610
2.828000,3839
2.832000,1139
2.836000,4095
2.840000,3720
2.844000,511
2.848000,3480
2.852000,511
2.856000,149
2.860000,511
2.864000,155
2.868000,511
2.872000,2185
2.876000,255
2.880000,137
2.884000,511
2.888000,920
2.892000,511
2.896000,3503
2.900000,1279
2.904000,1244
2.908000,1535
2.912000,3521
2.916000,1023
2.920000,2753
2.924000,1535
2.928000,3568
2.932000,2575
2.936000,2411
2.940000,1024
2.944000,2866
2.948000,529
2.952000,2811
2.956000,2849
2.960000,609
2.964000,3874
2.968000,2920
2.972000,3362
2.976000,580
2.980000,2338
2.984000,3511
2.988000,2577
2.992000,905
2.996000,2048
3.000000,3521
3.004000,767
3.008000,2689
3.012000,3327
3.016000,495
3.020000,1006
3.024000,944
3.028000,1006
3.032000,709
3.036000,1262
3.040000,1733
3.044000,1006
3.048000,1473
3.052000,1518
3.056000,1274
3.060000,2030
3.064000,239
3.068000,1518
3.072000,2238
3.076000,1262
3.080000,206
3.084000,1518
3.088000,730
3.092000,1518
3.096000,2026
3.100000,2302
3.104000,3627
3.108000,3071
3.112000,3386
3.116000,3071
3.120000,2603
3.124000,3071
3.128000,327
3.132000,3839
3.136000,656
3.140000,767
3.144000,173
3.148000,767
3.152000,1458
3.156000,1023
3.160000,1225
3.164000,1535
3.168000,2805
3.172000,2319
3.176000,33
3.180000,2304
3.184000,3853
3.188000,2048
3.192000,3866
3.196000,2560
3.200000,39
3.204000,2304
3.208000,3343
3.212000,2304
3.216000,1073
3.220000,2816
3.224000,1071
3.228000,2304
3.232000,2823
3.236000,2032
3.240000,998
3.244000,1535
3.248000,473
3.252000,1791
3.256000,1032
3.260000,2560
3.264000,2873
3.268000,3072
3.272000,1857
3.276000,2816
3.280000,830
3.284000,3072
3.288000,1366
3.292000,3328
3.296000,1609
3.300000,2560
3.304000,538
3.308000,2560
3.312000,65
3.316000,3072
3.320000,2871
3.324000,2048
3.328000,4047
3.332000,767
3.336000,3208
3.340000,255
3.344000,2200
3.348000,767
3.352000,2953
3.356000,4095
3.360000,3178
3.364000,3839
3.368000,3942
3.372000,3839
3.376000,1639
3.380000,3839
3.384000,2955
3.388000,767
3.392000,2467
3.396000,511
3.400000,2432
3.404000,255
3.408000,1430
3.412000,767
3.416000,2751
3.420000,1279
3.424000,1978
3.428000,767
3.432000,1450
3.436000,767
3.440000,3255
3.444000,1279
3.448000,2770
3.452000,1535
3.456000,2761
3.460000,1535
3.464000,2792
3.468000,2319
3.472000,1374
3.476000,768
3.480000,2078
3.484000,17
3.488000,1999
3.492000,2081
3.496000,2628
3.500000,3874
3.504000,1143
3.508000,3106
3.512000,34
3.516000,2082
3.520000,2527
3.524000,273
3.528000,35
3.532000,769
3.536000,3183
3.540000,3072
3.544000,1050
3.548000,1264
3.552000,1132
3.556000,2559
3.560000,506
3.564000,2030
3.568000,3586
3.572000,2303
3.576000,1796
3.580000,2031
3.584000,3326
3.588000,2030
3.592000,2018
3.596000,1518
3.600000,3309
3.604000,2302
3.608000,2076
3.612000,3071
3.616000,3386
3.620000,3071
3.624000,2098
3.628000,3327
3.632000,1104
3.636000,3583
3.640000,1373
3.644000,3583
3.648000,3925
3.652000,3583
3.656000,2922
3.660000,255
3.664000,920
3.668000,767
3.672000,2490
3.676000,1535
3.680000,747
3.684000,2063
3.688000,2583
3.692000,2560
3.696000,1065
3.700000,2560
3.704000,2341
3.708000,2560
3.712000,2591
3.716000,2560
3.720000,1573
3.724000,2560
3.728000,1590
3.732000,2816
3.736000,2369
3.740000,3072
3.744000,3654
3.748000,3072
3.752000,3144
3.756000,3072
3.760000,3140
3.764000,3072
3.768000,1094
3.772000,3072
3.776000,1365
3.780000,3328
3.784000,1382
3.788000,3584
3.792000,2679
3.796000,0
3.800000,655
3.804000,256
3.808000,3238
3.812000,768
3.816000,2238
3.820000,1024
3.824000,3773
3.828000,768
3.832000,1195
3.836000,256
3.840000,1164
3.844000,3840
3.848000,1638
3.852000,3072
3.856000,3118
3.860000,2304
3.864000,3061
3.868000,1791
3.872000,1234
3.876000,1279
3.880000,1225
3.884000,1279
3.888000,716
3.892000,1279
3.896000,1226
3.900000,1279
3.904000,1996
3.908000,1279
3.912000,980
3.916000,1535
3.920000,227
3.924000,1791
3.928000,1772
3.932000,1791
3.936000,2544
3.940000,2047
3.944000,3064
3.948000,2063
3.952000,3847
3.956000,2048
3.960000,1802
3.964000,2048
3.968000,21
3.972000,2304
3.976000,1820
3.980000,2304
3.984000,3876
3.988000,2560
3.992000,1582
3.996000,2816
4.000000,2395
4.004000,256
4.008000,1252
4.012000,3088
4.016000,3764
4.020000,2081
4.024000,313
4.028000,3362
4.032000,112
4.036000,3618
4.040000,1855
4.044000,2082
4.048000,1490
4.052000,17
4.056000,1587
4.060000,1025
4.064000,1131
4.068000,2560
4.072000,2309
4.076000,1776
4.080000,440
4.084000,255
4.088000,3425
4.092000,3327
4.096000,2345
4.100000,2559
4.104000,1798
4.108000,2303
4.112000,40
4.116000,3071
4.120000,571
4.124000,3071
4.128000,2099
4.132000,3071
4.136000,43
4.140000,2815
4.144000,3629
4.148000,3071
4.152000,3391
4.156000,3327
4.160000,3405
4.164000,3583
4.168000,1121
4.172000,3839
4.176000,379
4.180000,255
4.184000,923
4.188000,767
4.192000,1212
4.196000,1279
4.200000,3801
4.204000,1791
4.208000,1523
4.212000,2063
4.216000,2338
4.220000,2816
4.224000,3643
4.228000,3072
4.232000,3406
4.236000,3328
4.240000,2137
4.244000,3584
4.248000,3685
4.252000,3584
4.256000,3685
4.260000,3584
4.264000,3429
4.268000,3584
4.272000,2146
4.276000,3584
4.280000,3419
4.284000,3328
4.288000,1616
4.292000,3072
4.296000,844
4.300000,3072
4.304000,70
4.308000,3072
4.312000,3406
4.316000,3328
4.320000,3421
4.324000,3584
4.328000,1899
4.332000,3584
4.336000,2167
4.340000,0
4.344000,1170
4.348000,256
4.352000,1948
4.356000,0
4.360000,3968
4.364000,3840
4.368000,3695
4.372000,3584
4.376000,91
4.380000,3072
4.384000,815
4.388000,2048
4.392000,1264
4.396000,1535
4.400000,3537
4.404000,1279
4.408000,3516
4.412000,1023
4.416000,946
4.420000,767
4.424000,2723
4.428000,767
4.432000,675
4.436000,767
4.440000,2735
4.444000,1023
4.448000,1970
4.452000,767
4.456000,1963
4.460000,767
4.464000,692
4.468000,1023
4.472000,705
4.476000,1279
4.480000,2767
4.484000,1535
4.488000,3284
4.492000,1535
4.496000,3282
4.500000,1535
4.504000,2770
4.508000,1535
4.512000,3030
4.516000,1791
4.520000,2038
4.524000,2063
4.528000,3375
4.532000,3584
4.536000,1204
4.540000,2320
4.544000,141
4.548000,1553
4.552000,2085
4.556000,3362
4.560000,1642
4.564000,3362
4.568000,1583
4.572000,1554
4.576000,2213
4.580000,3345
4.584000,3313
4.588000,0
4.592000,805
4.596000,1776
4.600000,1233
4.604000,1023
4.608000,1947
4.612000,3839
4.616000,1093
4.620000,2559
4.624000,241
4.628000,1262
4.632000,2488
4.636000,1262
4.640000,1495
4.644000,1774
4.648000,3573
4.652000,2030
4.656000,3313
4.660000,2030
4.664000,2042
4.668000,2030
4.672000,506
4.676000,2030
4.680000,2554
4.684000,2302
4.688000,3079
4.692000,2559
4.696000,1313
4.700000,2815
4.704000,2614
4.708000,3327
4.712000,1359
4.716000,3583
4.720000,874
4.724000,4095
4.728000,1677
4.732000,511
4.736000,687
4.740000,1023
4.744000,1738
4.748000,1535
4.752000,2288
4.756000,2063
4.760000,1035
4.764000,2304
4.768000,3876
4.772000,2560
4.776000,2606
4.780000,2816
4.784000,1593
4.788000,2816
4.792000,1855
4.796000,2816
4.800000,1086
4.804000,2816
4.808000,2615
4.812000,2816
4.816000,3890
4.820000,2816
4.824000,313
4.828000,2816
4.832000,825
4.836000,2816
4.840000,1089
4.844000,3072
4.848000,2904
4.852000,3584
4.856000,2152
4.860000,3840
4.864000,1148
4.868000,0
4.872000,1945
4.876000,256
4.880000,3228
4.884000,256
4.888000,1929
4.892000,3840
4.896000,1397
4.900000,3584
4.904000,352
4.908000,3072
4.912000,814
4.916000,2048
4.920000,3817
4.924000,1535
4.928000,3276
4.932000,1279
4.936000,2748
4.940000,1023
4.944000,687
4.948000,767
4.952000,168
4.956000,767
4.960000,2219
4.964000,1023
4.968000,3508
4.972000,1023
4.976000,1208
4.980000,1023
4.984000,1981
4.988000,1023
4.992000,708
4.996000,1279
5.000000,3282
5.004000,1535
5.008000,1239
5.012000,1535
5.016000,3039
5.020000,1791
5.024000,228
5.028000,1791
5.032000,2283
5.036000,2047
5.040000,3057
5.044000,2063
5.048000,1565
5.052000,3072
5.056000,663
5.060000,1792
5.064000,3178
5.068000,1297
5.072000,1567
5.076000,3106
5.080000,3437
5.084000,3874
5.088000,3411
5.092000,2338
5.096000,2513
5.100000,17
5.104000,291
5.108000,769
5.112000,3408
5.116000,2048
5.120000,1756
5.124000,1279
5.128000,189
5.132000,511
5.136000,1897
5.140000,3071
5.144000,22
5.148000,1775
5.152000,966
5.156000,1006
5.160000,3531
5.164000,1774
5.168000,508
5.172000,2302
5.176000,2319
5.180000,2559
5.184000,2838
5.188000,2559
5.192000,2321
5.196000,2559
5.200000,1046
5.204000,2559
5.208000,803
5.212000,2815
5.216000,563
5.220000,3071
5.224000,2114
5.228000,3583
5.232000,1889
5.236000,3839
5.240000,2174
5.244000,511
5.248000,2206
5.252000,1023
5.256000,2751
5.260000,1535
5.264000,230
5.268000,2047
5.272000,11
5.276000,2304
5.280000,546
5.284000,2560
5.288000,3121
5.292000,2816
5.296000,1593
5.300000,2816
5.304000,1596
5.308000,2816
5.312000,3649
5.316000,3072
5.320000,328
5.324000,3072
5.328000,844
5.332000,3072
5.336000,1862
5.340000,2816
5.344000,1086
5.348000,2816
5.352000,3899
5.356000,2816
5.360000,3638
5.364000,2816
5.368000,3644
5.372000,3072
5.376000,848
5.380000,3328
5.384000,3685
5.388000,3584
5.392000,109
5.396000,3840
5.400000,3722
5.404000,256
5.408000,3735
5.412000,256
5.416000,3983
5.420000,0
5.424000,639
5.428000,3840
5.432000,885
5.436000,3584
5.440000,2385
5.444000,2816
5.448000,3602
5.452000,2032
5.456000,2534
5.460000,1791
5.464000,4060
5.468000,1535
5.472000,3796
5.476000,1535
5.480000,1241
5.484000,1535
5.488000,2014
5.492000,1535
5.496000,3299
5.500000,1791
5.504000,3043
5.508000,1791
5.512000,1768
5.516000,1791
5.520000,3827
5.524000,2047
5.528000,2
5.532000,2048
5.536000,522
5.540000,2048
5.544000,1291
5.548000,2048
5.552000,3088
5.556000,2304
5.560000,536
5.564000,2304
5.568000,2596
5.572000,2816
5.576000,2390
5.580000,256
5.584000,3560
5.588000,3344
5.592000,3269
5.596000,2593
5.600000,3936
5.604000,34
5.608000,3228
5.612000,290
5.616000,1128
5.620000,2594
5.624000,3811
5.628000,273
5.632000,827
5.636000,1281
5.640000,901
5.644000,3328
5.648000,334
5.652000,2816
5.656000,267
5.660000,1264
5.664000,3977
5.668000,3583
5.672000,550
5.676000,2031
5.680000,228
5.684000,1774
5.688000,3839
5.692000,2558
5.696000,1317
5.700000,2815
5.704000,3634
5.708000,3071
5.712000,1339
5.716000,3071
5.720000,1851
5.724000,3071
5.728000,579
5.732000,3327
5.736000,3407
5.740000,3583
5.744000,609
5.748000,3839
5.752000,2422
5.756000,255
5.760000,1680
5.764000,511
5.768000,171
5.772000,1023
5.776000,457
5.780000,1535
5.784000,491
5.788000,2047
5.792000,1293
5.796000,2304
5.800000,1583
5.804000,2816
5.808000,2889
5.812000,3328
5.816000,2651
5.820000,3584
5.824000,3683
5.828000,3584
5.832000,1898
5.836000,3584
5.840000,2928
5.844000,3840
5.848000,3445
5.852000,3840
5.856000,2674
5.860000,3840
5.864000,3957
5.868000,3840
5.872000,3447
5.876000,3840
5.880000,1904
5.884000,3584
5.888000,1387
5.892000,3584
5.896000,1909
5.900000,3840
5.904000,1929
5.908000,0
5.912000,1174
5.916000,256
5.920000,2212
5.924000,768
5.928000,2233
5.932000,1024
5.936000,2491
5.940000,768
5.944000,2473
5.948000,512
5.952000,2714
5.956000,256
5.960000,2953
5.964000,3840
5.968000,3157
5.972000,2816
5.976000,3352
5.980000,2048
5.984000,1013
5.988000,1791
5.992000,1763
5.996000,1535
6.000000,1246
6.004000,1535
6.008000,1241
6.012000,1535
6.016000,1758
6.020000,1535
6.024000,1756
6.028000,1535
6.032000,3809
6.036000,1791
6.040000,1769
6.044000,1791
6.048000,3568
6.052000,2047
6.056000,2294
6.060000,2063
6.064000,2560
6.068000,2048
6.072000,2818
6.076000,2048
6.080000,3845
6.084000,2048
6.088000,2058
6.092000,2304
6.096000,3101
6.100000,2816
6.104000,1883
6.108000,256
6.112000,3586
6.116000,3857
6.120000,3297
6.124000,2849
6.128000,614
6.132000,34
6.136000,2201
6.140000,34
6.144000,3660
6.148000,2082
6.152000,1210
6.156000,3601
6.160000,2825
6.164000,513
6.168000,3923
6.172000,2560
6.176000,2071
6.180000,2048
6.184000,2510
6.188000,511
6.192000,2143
6.196000,3071
6.200000,2566
6.204000,1775
6.208000,2771
6.212000,1774
6.216000,2554
6.220000,2558
6.224000,3356
6.228000,2815
6.232000,808
6.236000,2815
6.240000,1321
6.244000,2815
6.248000,2093
6.252000,3071
6.256000,3632
6.260000,3071
6.264000,2875
6.268000,3327
6.272000,3402
6.276000,3583
6.280000,349
6.284000,3839
6.288000,2932
6.292000,255
6.296000,2963
6.300000,767
6.304000,3509
6.308000,1279
6.312000,1241
6.316000,1791
6.320000,1794
6.324000,2048
6.328000,284
6.332000,2560
6.336000,1076
6.340000,2816
6.344000,1608
6.348000,3072
6.352000,3667
6.356000,3328
6.360000,857
6.364000,3328
6.368000,1629
6.372000,3328
6.376000,2656
6.380000,3584
6.384000,1378
6.388000,3328
6.392000,347
6.396000,3328
6.400000,3417
6.404000,3328
6.408000,3667
6.412000,3328
6.416000,2139
6.420000,3584
6.424000,3432
6.428000,3840
6.432000,383
6.436000,0
6.440000,653
6.444000,256
6.448000,1700
6.452000,512
6.456000,1712
6.460000,512
6.464000,1702
6.468000,256
6.472000,1942
6.476000,0
6.480000,3973
6.484000,3840
6.488000,1630
6.492000,2816
6.496000,3873
6.500000,2048
6.504000,3313
6.508000,1791
6.512000,4060
6.516000,1535
6.520000,2772
6.524000,1535
6.528000,2514
6.532000,1535
6.536000,1745
6.540000,1279
6.544000,2511
6.548000,1535
6.552000,2770
6.556000,1535
6.560000,471
6.564000,1535
6.568000,2014
6.572000,1535
6.576000,3812
6.580000,1791
6.584000,1771
6.588000,1791
6.592000,2544
6.596000,2047
6.600000,3059
6.604000,2047
6.608000,243
6.612000,2047
6.616000,770
6.620000,2048
6.624000,1057
6.628000,3072
6.632000,2449
6.636000,1792
6.640000,1119
6.644000,1041
6.648000,2077
6.652000,3362
6.656000,621
6.660000,3874
6.664000,3936
6.668000,2594
6.672000,228
6.676000,273
6.680000,3387
6.684000,1281
6.688000,1901
6.692000,2304
6.696000,1784
6.700000,1791
6.704000,3291
6.708000,1023
6.712000,2689
6.716000,3583
6.720000,3365
6.724000,2031
6.728000,2512
6.732000,1262
6.736000,208
6.740000,1774
6.744000,1279
6.748000,2302
6.752000,3091
6.756000,2559
6.760000,24
6.764000,2559
6.768000,795
6.772000,2559
6.776000,2846
6.780000,2815
6.784000,2601
6.788000,3071
6.792000,2872
6.796000,3327
6.800000,3919
6.804000,3583
6.808000,2916
6.812000,4095
6.816000,384
6.820000,255
6.824000,664
6.828000,767
6.832000,2493
6.836000,1535
6.840000,2270
6.844000,2047
6.848000,1280
6.852000,2048
6.856000,2328
6.860000,2560
6.864000,2343
6.868000,2816
6.872000,820
6.876000,2816
6.880000,2367
6.884000,3072
6.888000,1855
6.892000,2816
6.896000,2367
6.900000,3072
6.904000,1599
6.908000,2816
6.912000,1855
6.916000,2816
6.920000,318
6.924000,2816
6.928000,3641
6.932000,2816
6.936000,2610
6.940000,2816
6.944000,1078
6.948000,2816
6.952000,2377
6.956000,3328
6.960000,2137
6.964000,3584
6.968000,2922
6.972000,3840
6.976000,3455
6.980000,0
6.984000,2695
6.988000,0
6.992000,3452
6.996000,3840
7.000000,111
7.004000,3584
7.008000,2400
7.012000,3328
7.016000,3897
7.020000,2304
7.024000,1779
7.028000,1535
7.032000,3278
7.036000,1279
7.040000,4028
7.044000,1023
7.048000,2740
7.052000,1023
7.056000,2223
7.060000,1023
7.064000,3248
7.068000,1023
7.072000,1205
7.076000,1023
7.080000,4033
7.084000,1279
7.088000,1740
7.092000,1279
7.096000,4050
7.100000,1535
7.104000,1755
7.108000,1535
7.112000,3811
7.116000,1791
7.120000,488
7.124000,1791
7.128000,3056
7.132000,2047
7.136000,2296
7.140000,2063
7.144000,3335
7.148000,2304
7.152000,2865
7.156000,3584
